	750	751	1000	1250	1500	1750	2000	2250	2500	3000	3500	4000	4500	5000	5500	6000	6250
0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
2.5	0.00000000	1793.33689278	1535.41915500	1521.76803922	1514.77940822	1514.22418305	1470.88575819	1506.45007153	1540.91285615	1683.53117588	1751.10569139	1890.22227431	2044.81651112	2171.77411851	2304.59728858	2488.32607539	2488.36166699
5.0	0.00000000	996.98921483	866.40987711	858.03260246	853.30450709	852.69589265	837.47824529	848.32975124	865.56980162	930.97412761	974.90916363	1036.57372595	1117.24775945	1185.03414568	1255.67444587	1349.64428688	1349.66359142
10.0	0.00000000	640.08779860	542.27400890	526.41915147	522.92329446	522.55241037	518.99491117	517.87071760	527.51136066	557.76120741	576.21256089	612.83163040	654.18357697	693.68153887	731.61223322	777.58811725	777.60010917
15.0	0.00000000	511.98600894	431.90268073	416.36381938	413.59905844	412.84904271	409.75630273	408.08019238	415.06095548	432.20315755	443.86722166	466.42131635	499.35090232	529.19521695	557.01746667	587.47683825	587.48689990
20.0	0.00000000	446.78123184	375.98986487	359.73332443	357.72787559	356.85444073	357.36497519	354.95953672	359.16195277	368.20341101	379.14543676	393.69075384	421.78365418	446.49008614	469.03330840	492.52767844	492.53762685
25.0	0.00000000	408.80914862	343.89240927	328.52857427	324.68404241	323.89054373	327.04883955	323.26497201	325.32650040	330.64159753	341.22785709	351.93248440	375.73278909	397.03570543	416.68328619	435.54382945	435.55417345
30.0	0.00000000	385.94368667	321.91881211	307.40318517	302.92394524	302.23077619	305.82544408	301.24580556	302.44809397	306.41180645	316.21549594	324.71198498	345.61669629	364.42857921	381.97937527	397.77738907	397.78341125
40.0	0.00000000	356.84748474	292.37571162	276.98307696	275.31129943	274.79489052	274.41673554	272.07054129	273.62887330	276.78900823	283.96811524	292.94708538	309.34219140	324.34089726	338.40630645	350.59590552	350.53660928
50.0	0.00000000	338.51802303	276.76505782	262.44304289	259.66769787	259.35982800	258.59064628	256.50682617	257.48801335	262.35152609	266.70957925	275.88310982	288.61215986	300.43829941	311.87949300	322.32560895	322.02989700
60.0	0.00000000	326.21899198	267.88649808	255.19633696	252.09823288	249.89419642	250.14039300	249.73862639	249.42206087	253.85706480	257.92893475	264.76921503	275.84888617	285.80041199	295.02177331	303.61543249	303.05548129
70.0	0.00000000	317.41826138	263.64972928	251.83608972	248.37964818	246.29021126	245.56043357	245.94076115	245.40607616	247.69854443	251.69333117	257.92758601	266.99306799	275.41700356	283.50707490	290.51209698	289.84673276
80.0	0.00000000	315.32369180	263.90252444	250.50084054	246.53306680	244.77927167	243.88639555	243.09610583	243.25370355	243.59063632	247.39126650	253.08744917	260.76900512	268.18192056	275.65010473	282.40005361	281.77226105
90.0	0.00000000	321.42206859	268.42182451	252.10580800	246.70286005	244.15513301	243.82480417	241.00115929	241.43445872	241.62934084	244.60630435	249.66026895	256.47306322	263.31624670	270.64437635	278.02066439	277.44020609
100.0	0.00000000	325.97442320	274.41705459	254.25954504	247.76115356	244.10032966	243.11505779	241.18408691	240.03716164	239.78715562	242.57544899	247.34411712	253.80272429	260.54385762	267.82354241	275.65109342	275.19111525
110.0	0.00000000	328.12770093	279.04827542	254.71794174	248.29135122	244.90082470	242.89434337	241.54429282	239.20628062	238.36147914	240.95337888	246.00649939	252.17829140	259.03957515	266.67345272	277.01901791	276.75329862
120.0	0.00000000	328.52610438	281.29159543	256.15327758	249.27092170	246.97488376	243.60489898	241.76636532	238.56204596	237.52369878	239.62383836	245.79395940	252.08437948	259.53386250	268.15738148	284.86227773	284.77563664
130.0	0.00000000	328.49856101	281.71305410	261.06706777	251.58580941	249.87238281	245.36498996	242.45703626	238.45545418	236.69797845	238.73577068	246.59807718	253.51614621	262.52699281	273.79327113	297.51642979	297.51036965
140.0	0.00000000	328.47498735	281.70801785	266.83791671	254.86131376	252.96464049	247.90035296	243.81797401	241.07534124	237.77258907	239.65987031	248.38651880	256.19389834	268.48883117	284.90567590	311.48374957	311.49152251
150.0	0.00000000	328.45455684	281.70365310	269.63045876	258.99518968	256.51013191	251.36609059	247.11529867	245.57651338	240.16362053	241.75760475	250.41924822	260.92422238	277.40826739	299.82026482	317.33127116	317.33993434
160.0	0.00000000	328.43668014	281.69983395	270.05490666	264.24145205	260.92273860	256.85862329	254.49623927	250.56351737	242.80970560	244.02436510	253.64218133	269.31539879	285.39373578	312.06709753	317.88472864	317.89341362
170.0	0.00000000	328.42090659	281.69646410	270.05915203	269.94102607	265.68625843	263.58920346	262.10652002	255.20150635	245.91927943	246.79784250	258.81084989	285.82125652	288.46518956	316.71444519	317.82690547	317.83558887
180.0	0.00000000	328.40688565	281.69346869	270.06292569	275.61370987	270.22954776	270.41396577	267.02415346	257.72359952	248.97720947	249.96253329	269.62292207	302.31303237	288.72999177	317.15321863	317.77550710	317.78418909
190.0	0.00000000	328.39434060	281.69078858	270.06630212	280.10161661	274.93577371	276.08500824	271.09093322	259.85784461	251.81792132	256.63550979	281.99852444	306.43350362	288.66950773	317.09754809	317.72951908	317.73819981
200.0	0.00000000	328.38305006	281.68837648	270.06934091	281.72752251	280.49683814	279.21595670	275.52439241	263.78519535	254.56359840	270.61469582	303.39253349	306.56533452	288.61507210	317.04744461	317.68812986	317.69680946
210.0	0.00000000	328.37283480	281.68619411	270.07209029	281.78631400	286.80272562	282.20607477	279.60869389	267.85143416	257.99526302	287.07978148	329.81576052	306.50316676	288.56282240	316.99659118	317.64246272	317.65114108
220.0	0.00000000	328.35359885	281.67534701	270.06557867	281.78548900	291.92461167	286.22504709	282.03816630	269.71933694	260.97580859	287.46481111	329.67092476	306.24647472	288.17896336	316.35419957	316.73164372	316.74029720
230.0	0.00000000	328.02965632	281.39601909	269.79044161	281.49125171	293.16334076	287.29221937	282.21401867	269.64167591	260.85004610	286.77723026	328.77646924	305.29121701	287.16468064	315.09919156	315.33562617	315.34424150
